Degree,ID,Curriculum,Field of studies,ECTS Credits,Semester,Link
06 Promotion,5047,TUM School of ED (Bauing.) (kA/20211),Bauingenieurwesen/Ingenieurbau,,8,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5047&pStartSemester=
06 Promotion,5048,TUM School of ED (Geowiss.) (kA/20211),Geowissenschaften,,8,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5048&pStartSemester=
06 Promotion,5035,TUM School of Engineering and Design (Architektur) (kA/20211),Architektur,,8,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5035&pStartSemester=
06 Promotion,5020,TUM School of Engineering and Design (Geodäsie) (kA/0),Vermessungswesen (Geodäsie),,8,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5020&pStartSemester=
06 Promotion,5034,TUM School of Engineering and Design (Landschaftsarch.) (kA/20211),Landespflege/Landschaftsgestaltung,,8,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5034&pStartSemester=
06 Promotion,5022,"TUM School of Engineering and Design (Luft-, Raumfahrt) (kA/0)",Luft- und Raumfahrttechnik,,8,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5022&pStartSemester=
06 Promotion,5036,TUM School of Engineering and Design (Maschinenwesen) (kA/20211),Maschinenbau/-wesen,,8,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5036&pStartSemester=
06 Promotion,4631,TUM School of Governance (kA/20161),Politikwissenschaft,,8,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
06 Promotion,5021,TUM School of Life Sciences (Naturschutz) (kA/0),Naturschutz,,8,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
06 Promotion,5040,TUM School of LS (Agrar- und Gartenb.) (kA/20211),Agrarwissenschaft/Landwirtschaft,,8,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
06 Promotion,5041,TUM School of LS (Biowissenschaften) (kA/20211),Biologie,,8,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
06 Promotion,5043,TUM School of LS (Ernährungswi.) (kA/20211),Haushalts- und Ernährungswissenschaft,,8,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
06 Promotion,5044,TUM School of LS (Forstwiss./Ressourcen) (kA/20211),"Forstwissenschaft, -wirtschaft",,8,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
06 Promotion,5045,TUM School of LS (Landschaftsarch.) (kA/20211),Landespflege/Landschaftsgestaltung,,8,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
06 Promotion,5046,TUM School of LS (Lebensmittelchemie) (kA/20211),Lebensmittelchemie,,8,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
06 Promotion,5033,TUM School of Management (Heilbronn) (kA/202101; sb bis 30.09.2050),Wirtschaftswissenschaften,,8,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
06 Promotion,5037,TUM School of Management (München) (kA/20211; sb bis 30.09.2050),Wirtschaftswissenschaften,,8,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
06 Promotion,5079,TUM School of MH (Gesundheit) (kA/20211),Gesundheitspädagogik,,8,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
06 Promotion,5069,TUM School of MH (Medizin) (kA/20211),Medizin (Allgemein-Medizin),,8,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
06 Promotion,5080,TUM School of MH (Sport) (kA/20211),Sportwissenschaft,,8,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
06 Promotion,5070,TUM School of NAT (Physik) (kA/20211),Physik,,8,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5070&pStartSemester=
06 Promotion,5065,TUM School of Natural Sciences (Chemie) (kA/20211),Chemie,,8,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
06 Promotion,5066,TUM School of Natural Sciences (Lebensmittelchemie) (kA/20211),Lebensmittelchemie,,8,javascript:alert('Details zum Curriculum sind im Studiensekretariat der betreuenden School zu erfragen.');
