Study_Program_ID,Name (1),Name (2),Name (3),Link,Credits,GF
121,Übergreifende Wahlmodule,Algorithmen,[IN2360] Höhere Algorithmik,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1493752/study-year/1621,6,1
121,Übergreifende Wahlmodule,Algorithmen,[EI7356] Network Planning,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/965554/study-year/1621,5,1
121,Übergreifende Wahlmodule,Algorithmen,[IN2304] Online and Approximation Algorithms,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/977328/study-year/1621,8,1
121,Übergreifende Wahlmodule,Algorithmen,[MW2249] Optimierung und Modellanalyse,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1085813/study-year/1621,5,1
121,Übergreifende Wahlmodule,Algorithmen,[EI5052] Time-Varying Systems and Computations,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/452550/study-year/1621,6,1
121,Übergreifende Wahlmodule,Computergrafik und -vision,,,,1
121,Übergreifende Wahlmodule,Computergrafik und -vision,[IN3200] Ausgewählte Themen aus dem Bereich Computergrafik und -vision,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/480428/study-year/1621,5,1
121,Übergreifende Wahlmodule,Computergrafik und -vision,[IN2389] Advanced Deep Learning for Computer Vision: Dynamic Vision,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/2809077/study-year/1621,8,1
121,Übergreifende Wahlmodule,Computergrafik und -vision,[IN2238] Analysis of Three-Dimensional Shapes,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/608652/study-year/1621,8,1
121,Übergreifende Wahlmodule,Computergrafik und -vision,[IN2124] Basic Mathematical Methods for Imaging and Visualization,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/480825/study-year/1621,5,1
121,Übergreifende Wahlmodule,Computergrafik und -vision,[IN2023] Bildverstehen I: Methoden der industriellen Bildverarbeitung,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/473853/study-year/1621,3,1
121,Übergreifende Wahlmodule,Computergrafik und -vision,[IN2016] Bildverstehen II: Robot Vision,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/458310/study-year/1621,4,1
121,Übergreifende Wahlmodule,Computergrafik und -vision,[IN2246] Computer Vision I: Variational Methods,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/672363/study-year/1621,8,1
121,Übergreifende Wahlmodule,Computergrafik und -vision,[IN2228] Computer Vision II: Multiple View Geometry,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/608655/study-year/1621,8,1
121,Übergreifende Wahlmodule,Computergrafik und -vision,"[IN2375] Computer Vision III: Detection, Segmentation, and Tracking",https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1733754/study-year/1621,6,1
121,Übergreifende Wahlmodule,Computergrafik und -vision,[IN0037] Game Physics,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/708343/study-year/1621,6,1
121,Übergreifende Wahlmodule,Computergrafik und -vision,[IN2297] Geometry Processing,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1528921/study-year/1621,6,1
121,Übergreifende Wahlmodule,Computergrafik und -vision,[IN2133] Grundlagen von Computer Vision,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/473871/study-year/1621,4,1
121,Übergreifende Wahlmodule,Computergrafik und -vision,[IN2015] Image Synthesis,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/456368/study-year/1621,5,1
