Study_Program_ID,Name (0),Name (1),Name (2),Name (3),Link,Recommended_Semester,Credits,GF
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,"Master-Praktikum - Entwicklung, Einsatzszenarien, Management und Integration von Unternehmenssoftware (am Beispiel SAP) (IN2128, IN2128012, IN2106, IN8902)",#,-,,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,"Advanced Practical Course - Enterprise Cloud Platform Operations - On the Example of SAP (IN2106, IN2128, IN212809)",#,-,,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,"Advanced Practical Course - Run-Time Data Visualization for Business Processes (IN2106, IN2128)",#,-,,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,"Advanced Practical Course - There and Back Again - Foundations and Applications of Process (Re-)Discovery with Petri Nets and Process Trees (IN2106, IN2128)",#,-,,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,"Big Data Analytics - Entwicklung innovativer Anwendungen auf Basis von SAP HANA (IN0012, IN2106, IN2128)",#,-,,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,Entwicklungspraktikum Unternehmenssoftware - Automotive Services (IN2128),#,-,,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,Entwicklungspraktikum Unternehmenssoftware - Business Intelligence (IN2128),#,-,,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,"Entwicklungspraktikum Unternehmenssoftware - Entwicklung, Einsatzszenarien, Management und Integration von Unternehmenssoftware (IN2128)",#,-,,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,Entwicklungspraktikum Unternehmenssoftware - SOA Anwendungsintegration (IN2128),#,-,,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,"Master Praktikum: Agile Entwicklung eines Lernassistenten auf Basis von generativer KI (IN2106, IN2128,  IN4368)",#,-,,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,"Master-Praktikum - Application Challenges for Machine Learning am Beispiel von IBM Power AI (IN2128, IN2106, IN212810)",#,-,,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,"Master-Praktikum - Building Digital Workflows with the Enterprise Platform ServiceNow (IN2128, IN2106, IN4283)",#,-,,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,"Master-Praktikum - Business Intelligence (IN2128, IN2106)",#,-,,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,"Master-Praktikum - Business Intelligence (IN2128, IN2106, IN8902)",#,-,,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,"Master-Praktikum - Future Business Labs (IN2106, IN2128)",#,-,,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,"Master-Praktikum - IoT Services: Anwendungsentwicklung am Beispiel von SAP Leonardo (IN2128, IN2106)",#,-,,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,"Master-Praktikum - Machine Learning für Wirtschaftsinformatiker (IN2106, IN2128)",#,-,,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,"Master-Praktikum - Supportive Process Automation and Worker Assistance (IN2128, IN2106)",#,-,,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,"Master-Praktikum - Sustainable Process Automation: Humans, Software and the Mediator Pattern (IN2128, IN2106, IN4303)",#,-,,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,"Practical Course - JavaScript Technology (IN0012, IN2106, IN2175, IN2128)",#,-,,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,"Practical Course - Server-Side Swift (IN0012, IN2106, IN212811)",#,-,,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,"Praktikum - Agile Project Management (IN0012, IN2106, IN2128, IN4206)",#,-,,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,"Praktikum - iOS Praktikum 2013 (IN0012, IN2106, IN8902, IN4049)",#,-,,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,"Praktikum - IT Service Automation (IN0012, IN2106, IN4147)",#,-,,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,"Praktikum - White-collar hacking contest (IN0012, IN2106, IN2128)",#,-,,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,"Praktikum: Advanced Systems Programming in C/Rust (IN0012, IN2106, IN2128)",#,-,,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,"Praktikum: Cloud Systems Engineering (IN0012, IN2106, IN2128)",#,-,,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,"Praktikum: Computer Systems Lab (IN0012, IN2106, IN2128)",#,-,,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2128] Entwicklungspraktikum Unternehmenssoftware,Praktikum Design Thinking for Business Innovation 1,#,-,,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2129] Entwicklungspraktikum Software Engineering für betriebliche Informationssysteme,,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/457038/study-year/1621,,10,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2129] Entwicklungspraktikum Software Engineering für betriebliche Informationssysteme,Entwicklungspraktikum Software Engineering für betriebliche Informationssysteme,#,-,10,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2129] Entwicklungspraktikum Software Engineering für betriebliche Informationssysteme,"Entwicklungspraktikum Software Engineering für betriebliche Informationssysteme - Webanwendungen (IN2106, IN2129, IN4077)",#,-,,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2129] Entwicklungspraktikum Software Engineering für betriebliche Informationssysteme,Entwicklungspraktikum Software Engineering für betriebliche Informationssysteme - Webanwendungen (IN2129),#,-,,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2130] Entwicklungspraktikum Realisierung prozessorientierter Anwendungen,,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/2862515/study-year/1621,,10,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2130] Entwicklungspraktikum Realisierung prozessorientierter Anwendungen,Entwicklungspraktikum Realisierung prozessorientierter Anwendungen,#,-,10,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2130] Entwicklungspraktikum Realisierung prozessorientierter Anwendungen,[IN213003] Advanced Practical Course - Message Correlation and Inter-Instance/Process Communication in Process Aware Information Systems,#,-,10,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2130] Entwicklungspraktikum Realisierung prozessorientierter Anwendungen,[IN213004] Advanced Practical Course - Solving Information Systems Problems Through Data Science Methods,#,-,10,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2130] Entwicklungspraktikum Realisierung prozessorientierter Anwendungen,[IN4304] Bachelor-/Master-Praktikum - Implementation of Process Mining Algorithms: Transformative Business Knowledge,#,-,10,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2130] Entwicklungspraktikum Realisierung prozessorientierter Anwendungen,[IN213005] Master Praktikum: Approaching Information System Challenges with Natural Language Processing,#,-,10,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2130] Entwicklungspraktikum Realisierung prozessorientierter Anwendungen,[IN213006] Praktikum - Geschäftsprozesssimulation und Optimierung,#,-,10,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2130] Entwicklungspraktikum Realisierung prozessorientierter Anwendungen,"Advanced Practical Course - Message Correlation and Inter-Instance/Process Communication in Process Aware Information Systems  (IN2106, IN2130)",#,-,,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2130] Entwicklungspraktikum Realisierung prozessorientierter Anwendungen,"Advanced Practical Course - Solving Information Systems Problems Through Data Science Methods  (IN2106, IN2130)",#,-,,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2130] Entwicklungspraktikum Realisierung prozessorientierter Anwendungen,"Bachelor-/Master-Praktikum - Implementation of Process Mining Algorithms: Transformative Business Knowledge (IN0012, IN2130, IN2106, IN4304)",#,-,,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2130] Entwicklungspraktikum Realisierung prozessorientierter Anwendungen,,#,-,,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2130] Entwicklungspraktikum Realisierung prozessorientierter Anwendungen,"Master Praktikum: Approaching Information System Challenges with Natural Language Processing (IN2106, IN2130)",#,-,,1
121,[20221] Information Systems,Wahlmodule Entwicklungspraktikum,[IN2130] Entwicklungspraktikum Realisierung prozessorientierter Anwendungen,"Praktikum - Geschäftsprozesssimulation und Optimierung (IN0012, IN2106, IN2130)",#,-,,1
121,[20221] Information Systems,Übergreifende Wahlmodule,,,#,,53,1
121,[20221] Information Systems,Übergreifende Wahlmodule,Softwaretechnik,,#,,0,1
121,[20221] Information Systems,Übergreifende Wahlmodule,Softwaretechnik,[IN9921] Anerkanntes Wahlmodul im Bereich Softwaretechnik,#,,,1
121,[20221] Information Systems,Übergreifende Wahlmodule,Softwaretechnik,[IN9922] Anerkanntes Wahlmodul im Bereich Softwaretechnik,#,,,1
121,[20221] Information Systems,Übergreifende Wahlmodule,Softwaretechnik,[CIT423002] AI Testing,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/4279940/study-year/1621,,5,1
121,[20221] Information Systems,Übergreifende Wahlmodule,Softwaretechnik,[IN3430] Ausgewählte Themen aus dem Bereich Engineering software-intensiver Systeme,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1498126/study-year/1621,,5,1
121,[20221] Information Systems,Übergreifende Wahlmodule,Softwaretechnik,[IN2367] Automated Programming,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1629492/study-year/1621,,2,1
121,[20221] Information Systems,Übergreifende Wahlmodule,Softwaretechnik,[IN2114] Automotive Software - Methoden und Technologien,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/261483/study-year/1621,,5,1
121,[20221] Information Systems,Übergreifende Wahlmodule,Softwaretechnik,[CIT423001] DevOps: Engineering for Deployment and Operations,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/4132629/study-year/1621,,6,1
121,[20221] Information Systems,Übergreifende Wahlmodule,Softwaretechnik,[CIT4230005] Engineering Resilient Cognitive Systems,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/3475235/study-year/1621,,3,1
121,[20221] Information Systems,Übergreifende Wahlmodule,Softwaretechnik,[IN2084] Fortgeschrittene Themen des Softwaretests,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/261731/study-year/1621,,5,1
121,[20221] Information Systems,Übergreifende Wahlmodule,Softwaretechnik,[IN2385] Funktions- und Informationssicherheit,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/2636231/study-year/1621,,3,1
121,[20221] Information Systems,Übergreifende Wahlmodule,Softwaretechnik,[IN2080] Modellierung verteilter Systeme,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/456926/study-year/1621,,4,1
121,[20221] Information Systems,Übergreifende Wahlmodule,Softwaretechnik,[IN2081] Muster in der Softwaretechnik,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/473855/study-year/1621,,5,1
121,[20221] Information Systems,Übergreifende Wahlmodule,Softwaretechnik,[IN2235] Software-Engineering in der industriellen Praxis,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/608628/study-year/1621,,3,1
121,[20221] Information Systems,Übergreifende Wahlmodule,Management,,#,,18,1
121,[20221] Information Systems,Übergreifende Wahlmodule,Management,[IN9931] Anerkennung im Bereich Management,#,,,1
121,[20221] Information Systems,Übergreifende Wahlmodule,Management,[IN9932] Anerkennung im Bereich Management,#,,,1
